GEOID20,District
3703900HOTH,11
3703900MARB,11
3703900MURN,11
3703900MURS,11
3703900RGER,11
3703900CSON,11
3703900HIWA,11
3703900HANG,11
3703900ANNW,11
3703900ANSW,11
3703900GCRK,11
3703900BRAS,11
3703900UNKA,11
3703900BELL,11
3703900PCHT,11
3703900TOPT,11
3707500STEC,11
3707500WEST,11
3707500EAST,11
3707500TAPO,11
37173ALMOND,11
37173000BC1,11
37173000BC2,11
3717300WHCH,11
37173ALARKA,11
370870000IH,11
370870000EF,11
3708700WS-2,11
370870000AC,11
3708700CL-S,11
370870000BC,11
3708700WS-1,11
370870000CR,11
3708700FC-2,11
3708700000P,11
3708700CL-N,11
3708700BE-1,11
3708700BE-3,11
3708700FC-1,11
3708700BE56,11
370870000WW,11
370870000JC,11
3708700BE-7,11
370870000PC,11
370870000HA,11
370870000ID,11
370870000LJ,11
370870000WE,11
3708700BE-2,11
370870000SA,11
370870000CE,11
370870000WC,11
3708700BE-4,11
370870000WO,11
37115MARS-H,11
37115LAUREL,11
371150BEECH,11
371150SOUTH,11
37115WALNUT,11
37115EBBS-C,11
37115SPRING,11
37115GRAPEV,11
371150NORTH,11
37115HOT-SP,11
371150SANDY,11
37115REVERE,11
370210001.1,11
370210053.1,11
370210068.1,11
370210022.2,11
370210058.1,11
370210059.1,11
370210066.1,11
370210044.1,11
370210048.1,11
370210038.3,11
370210036.1,11
370210060.2,11
370210002.1,11
370210011.1,11
370210045.1,11
370210039.2,11
370210003.1,11
370210054.2,11
370210052.1,11
370210047.1,11
370210025.1,11
370210008.3,11
370210034.1,11
370210023.3,11
370210014.3,11
370210067.1,11
370210012.1,11
370210042.1,11
370210033.3,11
370210064.1,11
370210024.1,11
370210009.1,11
370210057.1,11
370210031.1,11
370210055.1,11
370210018.2,11
370210013.1,11
370210030.3,11
370210071.1,11
370210033.2,11
370210005.1,11
370210049.1,11
370210006.1,11
370210040.2,11
370210041.1,11
370210016.2,11
370210027.2,11
370210004.1,11
370210028.1,11
370210038.2,11
370210014.2,11
370210065.1,11
370210030.2,11
370210032.1,11
370210035.1,11
370210061.1,11
370210060.4,11
370210007.1,11
370210070.1,11
370210019.1,11
370210010.1,11
370210056.2,11
370210026.1,11
370210037.1,11
370210069.1,11
370210021.1,11
370210008.2,11
370210050.1,11
370210017.1,11
370210015.1,11
370210051.2,11
370210020.1,11
370210046.1,11
370210039.3,11
370210029.2,11
370210062.1,11
370210043.2,11
370210063.1,11
370210023.2,11
3719903-EGY,11
3719901-BUR,11
3719908-CRA,11
3719906-JAC,11
3719902-CAN,11
3719904-RAM,11
3719910-PEN,11
3719911-PRI,11
3719909-SOU,11
3719905-GRE,11
3719907-BRU,11
37121000006,10
37121000004,10
37121000009,10
37121000005,10
37121000001,10
37121000003,10
37121000007,10
37121000008,10
37121000002,10
37011000003,10
37011000010,10
37011000002,10
37011000005,10
37011000015,10
37011000011,10
37011000016,10
37011000013,10
37011000018,10
37011000001,10
37011000004,10
37011000014,10
37011000009,10
37011000012,10
37011000006,10
37011000017,10
37011000008,10
37011000007,10
37011000019,10
37189000011,10
37189000014,10
